,ID,Nom,ON VA?,PROCÉS 1,PROCÉS 2,EN QUÈ ES TRANSFORMA 1,EN QUÈ ES TRANSFORMA 2,CONSELL DE PREVENCIÓ
0,R001,Aerosols,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Alumini reciclat,-,-
1,R002,Agulles cosir,Fracció resta (gris),Planta de triatge: Resta,-,Monodipòsit,-,-
2,R003,Ampolla de plàstic,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Plàstic,-,Opta per envasos grans
3,R004,Ampolla de vidre,Vidre (verd),Planta de triatge: Vidre,Planta de reciclatge,Vidre reciclat,-,Reutilitza les ampolles de vidre
4,R005,Auriculars,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Plàstic,-,-
5,R006,Baieta,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
6,R007,Bastonets de les orelles,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
7,R008,Bateria de cotxe,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Plom,Carcasses reciclades,-
8,R009,Bijuteria i complements,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
9,R010,Bolígrafs,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Plàstic,-,Utilitza bolígrafs de tinta recarregable
10,R011,"Bolquers, compreses, tampons",Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,"Optar per bolquers reutilitzables pot implicar una reducció de residus de més de 1.000 kg per família a l’any, i fins a 1.000 € anuals d’estalvi."
11,R012,Bombeta de baix consum,Deixalleria / Punt Verd ,Empresa especialitzada,Fabricant,Mercuri reciclat,Alumini reciclat,Evitar el seu trencament
12,R013,Bombeta de filament,Fracció resta (gris),Planta de triatge: Resta,-,Monodipòsit,-,
13,R014,Bossa aperitiu,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Safata Alumini,-,-
14,R015,Bossa de paper o cartró,Paper i cartró (blau),Planta de triatge de paper i cartró,Planta de reciclatge,Paper reciclat,-,Reutilitza les bosses que puguis.
15,R016,Bossa de plàstic,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Bosses de plàstic,-,"Substitueix les bosses de plàstic per bosses reutilitzables, cistell o carro de la compra"
16,R017,Bric,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Alumini reciclat,Plàstic,-
17,R018,Cafè (càpsules),Deixalleria / Punt Verd ,Empresa especialitzada,-,Safata Alumini,-,-
18,R019,Cafè (filtre),Fracció orgànica (marró),Planta de digestió anaeròbia,Planta de compostatge,Compost,Electricitat,-
19,R020,Cafè (marro),Fracció orgànica (marró),Planta de digestió anaeròbia,Planta de compostatge,Compost,Electricitat,"Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà"
20,R021,Calçat,Contenidor  Roba ,Triatge de roba,-,Roba,-,-
21,R022,Capsa de cartró,Paper i cartró (blau),Planta de triatge de paper i cartró,Planta de reciclatge,Paper reciclat,-,-
22,R024,Capsa de plàstic,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Caixes de plàstic,-,-
23,R025,Capsa de puros,Envàs lleuger (groc),Planta de triatge d'envasos,Fabricant,Combustible,Conglomerat,-
24,R026,Cassola,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Peces automoció,-,-
25,R027,CD's/DVD's,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Policarbonat,-,-
26,R028,Cendrer de plàstic,Fracció resta (gris),Planta de triatge: Resta,-,Monodipòsit,-,-
27,R029,Cendrer de porcellana,Fracció resta (gris),Planta de triatge: Resta,-,Monodipòsit,-,-
28,R030,Cendrer de vidre,Deixalleria / Punt Verd ,Empresa especialitzada,-,Vidre reciclat,-,Per diferències en la composició d’aquest vidre és millor no barrejar-lo amb el vidre dels envasos.
29,R031,Cera,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
30,R032,Cistell o cabàs,Deixalleria / Punt Verd ,Incineradora,-,Electricitat,-,"Per anar a comprar, podem portar el cabàs per estalviar bosses de plàstic, adquirir productes a granel, escollir envasos de gran capacitat i productes concentrats, i rebutjar embolcalls innecessaris."
31,R033,Clips metàl·lics,Fracció resta (gris),Planta de triatge: Resta,-,Monodipòsit,-,-
32,R034,Closques,Fracció orgànica (marró),Planta de digestió anaeròbia,Planta de compostatge,Compost,Electricitat,"Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà."
33,R035,Coberts,Deixalleria / Punt Verd ,Empresa especialitzada,-,Metall reciclat,-,-
34,R036,Cordons de sabata,Contenidor  Roba ,Triatge de roba,-,Roba,-,-
35,R037,Cotó fluix,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
36,R038,Desodorant amb roll-on,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Plàstics,-,-
37,R039,Diari,Paper i cartró (blau),Planta de triatge de paper i cartró,Planta de reciclatge,Paper reciclat,-,-
38,R040,Disc de vinil,Deixalleria / Punt Verd ,Incineradora,-,Electricitat,-,-
39,R041,Draps,Contenidor  Roba ,Triatge de roba,-,Roba,-,-
40,R042,Embolcalls de film i plata,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Safata Alumini,-,Utilitza la carmanyola per a portar l’entrepà o algun tipus d’embolcall reutilitzable
41,R043,Escuradents de fusta,Fracció orgànica (marró),Planta de digestió anaeròbia,Planta de compostatge,Compost,Electricitat,"Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà."
42,R044,Espiral llibreta,Deixalleria / Punt Verd ,Empresa especialitzada,-,Metall reciclat,-,-
43,R045,Etiqueta adhesiva,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
44,R046,Etiqueta de paper,Paper i cartró (blau),Planta de triatge de paper i cartró,Planta de reciclatge,Paper reciclat,-,-
45,R047,Excrements,Fracció orgànica (marró),Planta de digestió anaeròbia,Planta de compostatge,Compost,Electricitat,"Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà."
46,R048,Fibrociment amb amiant,Deixalleries especifiques,Empresa especialitzada,-,-,-,Aquest material representa un risc per la salut. NO EL MANIPULIS NI L’ESMICOLIS.
47,R049,Flors,Fracció orgànica (marró),Planta de digestió anaeròbia,Planta de compostatge,Compost,Electricitat,"Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà"
48,R050,Fluorescent,Deixalleria / Punt Verd ,Empresa especialitzada,Fabricant,Mercuri reciclat,Alumini reciclat,Evitar el seu trencament
49,R051,Fotos,Deixalleria / Punt Verd ,Empresa especialitzada,Incineradora,Electricitat,-,-
50,R052,Fulls de paper,Paper i cartró (blau),Planta de triatge de paper i cartró,Planta de reciclatge,Paper reciclat,-,Reutilitza el paper imprès a una sola cara per prendre notes o imprimir esborranys. Imprimeix els documents a doble cara i només quan realment sigui necessari.
51,R053,Galleda,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Plàstic,Metall,-
52,R054,Gerro ceràmica,Deixalleria / Punt Verd ,Empresa especialitzada,-,Monodipòsit,-,-
53,R055,Gespa,Fracció orgànica (marró),Planta de digestió anaeròbia,Planta de compostatge,Compost,Electricitat,"Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà"
54,R056,Goma esborrar,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
55,R057,Got de plàstic,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Bosses de plàstic,-,Pots optar per l’ús de gots reutilitzables
56,R058,Got de vidre trencat,Fracció resta (gris),Planta de triatge: Resta,-,Monodipòsit,-,-
57,R059,Infusions (bossetes),Fracció orgànica (marró),Planta de digestió anaeròbia,Planta de compostatge,Compost,Electricitat,"Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà"
58,R060,Iogurt  de plàstic,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Bosses de plàstic,-,-
59,R061,Iogurt de vidre,Vidre (verd),Planta de triatge: Vidre,Planta de reciclatge,Vidre reciclat,-,Reutilitza els pots
60,R062,Joguines,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Plàstic,-,Abans de llençar-les pensa si algú les pot aprofitar
61,R063,Llapis,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
62,R064,Llaunes fèrriques,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Metalls,-,-
63,R065,Llima d’ungles,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
64,R066,Llumins de fusta,Fracció orgànica (marró),Planta de digestió anaeròbia,Planta de compostatge,Compost,Electricitat,"Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà"
65,Triatge roba,C2_triatge_roba,,,,,,
66,R067,Mànega,Deixalleria / Punt Verd ,Empresa especialitzada,-,Plàstic,-,-
67,R068,Maquineta d’afaitar,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
68,R069,Maquineta fer punta,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
69,R070,Matalàs,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Metall reciclat,Filtres industrials,-
70,R071,Medicaments,Medicaments ,Empresa especialitzada,-,Paper reciclat,Medicament processat,"Els medicament caducats o fora d’ús no es poden llençar mai per l’aigüera ni al vàter, ja que contenen principis actius que poden causar un greu risc per a la salut de les persones i del medi ambient"
71,R072,Mirall,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Plàstic,Vidre pla,-
72,R073,Mitges,Contenidor  Roba ,Triatge de roba,-,Roba,-,"Evita llençar la roba directament a les escombraries. Si el material està fet malbé, és millor portar-lo a un Punt Verd o a una deixalleria. Si la roba o els complements es troben en bon estat, dipositem-los a un contenidor específic de roba, o donar-ho a persones que en puguin fer un nou ús."
73,R074,Mòbil i accessoris,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Carcasses,-,Abans de llençar-lo pensa si encara es pot reparar o algú el pot utilitzar.
74,R075,Moble de fusta,Deixalleria / Punt Verd ,Empresa especialitzada,-,Conglomerat,Combustible,La fusta que portem a la deixalleria és un 99% valoritzable.
75,R076,Nevera,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Plàstic,Ferro,Abans de llençar un electrodomèstic pensa si pots reparar-lo.
76,R077,Oli de cotxe,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Oli motor,Plàstic,És millor retirar l’oli en llocs especialitzats per evitar problemes de contaminació.
77,R078,Oli de cuina ,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Biodièsel,-,Evitar llençar-lo a l’aigüera o pel vàter. A casa nostra hi ha una forta tradició de fer sabó natural amb l’oli de cuina fora d’ús.
78,R079,Ordinador,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Carcasses,-,Abans de llençar-lo pensa si pots reparar-lo o ampliar les seves prestacions tot incorporant-hi nous complements.
79,R080,Paella,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Alumini reciclat,-,-
80,R081,Pal d'escombra,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
81,R082,Pal de fregar,Fracció resta (gris),Planta de triatge: Resta,-,Monodipòsit,-,-
82,R083,Palleta,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
83,R084,Paper magdalenes,Fracció orgànica (marró),Planta de digestió anaeròbia,Planta de compostatge,Compost,Electricitat,"Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà."
84,R085,Paper plastificat,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
85,R086,Penjador de plàstic,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Caixes de plàstic,-,-
86,R087,Petits aparells elèctrics i electrònics,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Plàstic,Ferro,Abans de llençar un electrodomèstic pensa si pots reparar-lo.
87,R088,Piles,Contenidors Piles,Empresa especialitzada,-,Piles reciclades,-,Utilitzeu piles recarregables
